smiles,scaffold,r1_fragment,r2_fragment,is_biased,id,mw,logp,hbd,hba,tpsa,rotatable_bonds,ring_count,aromatic_rings,heavy_atoms,num_heteroatoms,pass_lipinski,pass_veber,pass_complexity,pass_aggregation,pass_pains,passes_all,qed,sa_score,sa_inv,binding_proxy,logp_dev,tpsa_score,norm_qed,norm_sa,norm_binding,norm_logp,norm_tpsa,composite_score,robustness_bonus,final_score,rank
CCc1nc2c([nH]1)=C1C=CC1CNCCNC=2,indole,C1CNCCN1,CC,True,SMOL-0156,230.315,-0.7603999999999986,3,3,52.74,1,3,1,17,4,True,True,True,True,True,True,0.5943,4.3,0.57,0.4425,3.2604,0.5,0.5943,0.57,0.4425,0.8151,0.5,38.88,3.3,42.18,360
CNC(=O)c1[nH]c2c3c1C(C=CC=2)COCCNC=3,indole,C(=O)NC,C1COCCN1,False,SMOL-0491,259.30899999999997,-0.8339999999999987,3,3,66.15,1,3,1,19,5,True,True,True,True,True,True,0.6163,9.1,0.09,0.3862,3.334,1.0,0.6163,0.09,0.3862,0.8335,1.0,35.46,6.7,42.16,361
Nc1cc2c3cc1C(C=CN=3)COCCNN=2,other,C1COCCN1,N,True,SMOL-0024,230.27099999999996,-0.3463,2,5,72.0,0,3,1,17,5,True,True,True,True,True,True,0.5985,9.1,0.09,0.4725,2.8463,1.0,0.5985,0.09,0.4725,0.7116,1.0,38.82,3.3,42.12,362
NC(=O)c1ccnn1S(N)(=O)=O,pyrazole,C(=O)N,S(=O)(=O)N,True,SMOL-0094,190.18399999999997,-1.9663999999999993,2,5,121.07,2,1,1,12,8,True,True,True,True,True,True,0.5615,3.6,0.64,0.3725,4.4664,0.5,0.5615,0.64,0.3725,1.0,0.5,35.51,6.6,42.11,363
CCc1nc2cccc(F)c2[nH]1,indole,F,CC,False,SMOL-0372,164.18299999999996,2.2643999999999997,1,1,28.68,1,2,2,12,3,True,True,True,True,True,True,0.6877,3.0,0.7,0.16,0.2356,0.0,0.6877,0.7,0.16,0.0589,0.0,35.4,6.6,42.0,364
OC1=c2nc3ncc2=CNCCOCC3C=C1,phenylpyridine,C1COCCN1,O,True,SMOL-0160,231.25499999999997,-0.8460000000000003,2,5,67.27000000000001,0,3,1,17,5,True,True,True,True,True,True,0.6088,7.9,0.21,0.4163,3.346,1.0,0.6088,0.21,0.4163,0.8365,1.0,38.54,3.3,41.84,365
COc1nc2c([nH]1)=CC=CC1COCCNC=21,benzimidazole,OC,C1COCCN1,True,SMOL-0185,233.27099999999996,-0.8871999999999991,2,4,59.17,1,3,1,17,5,True,True,True,True,True,True,0.6607,4.3,0.57,0.3862,3.3872,0.5,0.6607,0.57,0.3862,0.8468,0.5,38.54,3.3,41.84,366
COc1nc2c([nH]1)=C1C=CC1COCCNC=2,indole,C1COCCN1,OC,True,SMOL-0177,233.271,-0.8871999999999991,2,4,59.17,1,3,1,17,5,True,True,True,True,True,True,0.6607,4.3,0.57,0.3862,3.3872,0.5,0.6607,0.57,0.3862,0.8468,0.5,38.54,3.3,41.84,367
Cc1nc2c(C(C)C)cccc2[nH]1,benzimidazole,C,C(C)C,True,SMOL-0045,174.24699999999999,2.994720000000001,1,1,28.68,1,2,2,13,2,True,True,True,True,True,True,0.707,3.0,0.7,0.16,0.4947,0.0,0.707,0.7,0.16,0.1237,0.0,35.24,6.6,41.84,368
CC(C)c1c[nH]nc1C(C)C,pyrazole,C(C)C,C(C)C,False,SMOL-0404,152.24099999999999,2.656500000000001,1,1,28.68,2,1,1,11,2,True,True,True,True,True,True,0.693,2.5,0.75,0.11,0.1565,0.0,0.693,0.75,0.11,0.0391,0.0,35.23,6.6,41.83,369
CC(C)Cc1ncc2cccc(CC(C)C)c2n1,phenylpyridine,CC(C)C,CC(C)C,False,SMOL-0376,242.36599999999999,4.026800000000003,0,2,25.78,4,2,2,18,2,True,True,True,True,True,True,0.8087,3.0,0.7,0.16,1.5268,0.0,0.8087,0.7,0.16,0.3817,0.0,35.2,6.6,41.8,370
CON1N=CNCCOCC2C=C21,pyrazole,C1COCCN1,OC,True,SMOL-0316,183.21099999999998,-0.07339999999999991,1,5,46.09,1,2,0,13,5,True,True,True,True,True,True,0.6177,4.05,0.5946,0.3362,2.5734,0.5,0.6177,0.5946,0.3362,0.6433,0.5,38.49,3.3,41.79,371
CCc1c[nH]nc1CC(C)C,pyrazole,CC,CC(C)C,False,SMOL-0361,152.24099999999999,2.1706000000000003,1,1,28.68,3,1,1,11,2,True,True,True,True,True,True,0.7061,2.5,0.75,0.11,0.3294,0.0,0.7061,0.75,0.11,0.0823,0.0,35.13,6.6,41.73,372
NC(=O)C1=CC2CNCCNC=NN12,pyrazole,C(=O)N,C1CNCCN1,True,SMOL-0315,195.226,-1.824099999999998,3,5,82.75,1,2,0,14,6,True,True,True,True,True,True,0.4597,4.19,0.5814,0.4525,4.3241,1.0,0.4597,0.5814,0.4525,1.0,1.0,41.7,0.0,41.7,373
COc1cccc2[nH]c(F)nc12,benzimidazole,F,OC,False,SMOL-0500,166.15499999999997,1.7106,1,2,37.91,1,2,2,12,4,True,True,True,True,True,True,0.6998,3.1,0.69,0.19,0.7894,0.0,0.6998,0.69,0.19,0.1974,0.0,35.02,6.6,41.62,374
Nc1c2[nH]c3c1=CNCCOCC2C=CC=3,indole,C1COCCN1,N,False,SMOL-0492,217.272,-0.6114000000000002,3,3,63.07000000000001,0,3,1,16,4,True,True,True,True,True,True,0.543,7.9,0.21,0.4425,3.1114,1.0,0.543,0.21,0.4425,0.7779,1.0,38.27,3.3,41.57,375
Oc1cc2c3cc1C(C=CN=3)CNCCNN=2,other,C1CNCCN1,O,False,SMOL-0461,230.271,-0.6498999999999997,3,5,69.01,0,3,1,17,5,True,True,True,True,True,True,0.5545,9.1,0.09,0.5025,3.1499,1.0,0.5545,0.09,0.5025,0.7875,1.0,37.86,3.3,41.16,376
NC(=O)c1c[nH]nc1C(N)=O,pyrazole,C(N)=O,C(=O)N,True,SMOL-0300,154.12899999999996,-1.3925,3,3,114.86000000000001,2,1,1,11,6,True,True,True,True,True,True,0.4865,3.24,0.6764,0.23,3.8925,1.0,0.4865,0.6764,0.23,0.9731,1.0,37.86,3.3,41.16,377
O=C(O)C1=c2nc3[nH]c2=CC=CC3COCCN1,benzimidazole,C1COCCN1,C(=O)O,True,SMOL-0153,247.254,-1.343799999999999,3,4,87.24,1,3,1,18,6,True,True,True,True,True,True,0.5713,8.0,0.2,0.4725,3.8438,1.0,0.5713,0.2,0.4725,0.9609,1.0,37.85,3.3,41.15,378
OC1=c2[nH]c3nc2cn[nH]nnc3C=C1,indole,O,c1nn[nH]n1,True,SMOL-0242,202.17700000000002,-0.38770000000000016,3,5,103.37,0,3,2,15,7,True,True,True,True,True,True,0.5395,7.6,0.24,0.39,2.8877,1.0,0.5395,0.24,0.39,0.7219,1.0,37.77,3.3,41.07,379
CC(C)Cc1ccccc1-c1cc(C(F)(F)F)ccn1,phenylpyridine,CC(C)C,C(F)(F)F,False,SMOL-0488,279.30499999999995,4.965900000000003,0,1,12.89,3,2,2,20,4,True,True,True,True,True,True,0.773,3.0,0.7,0.13,2.4659,0.0,0.773,0.7,0.13,0.6165,0.0,31.06,10.0,41.06,380
COC1=CC2COCCNC=NN12,pyrazole,OC,C1COCCN1,True,SMOL-0251,183.211,-0.2784999999999999,1,5,46.09,1,2,0,13,5,True,True,True,True,True,True,0.6071,4.05,0.5946,0.3362,2.7785,0.5,0.6071,0.5946,0.3362,0.6946,0.5,37.71,3.3,41.01,381
CNC(=O)c1[nH]c2c3c1C(C=CC=2)CNCCNC=3,indole,C(=O)NC,C1CNCCN1,True,SMOL-0041,258.325,-1.2609999999999977,4,3,68.95,1,3,1,19,5,True,True,True,True,True,True,0.5081,9.1,0.09,0.4725,3.761,1.0,0.5081,0.09,0.4725,0.9402,1.0,34.28,6.7,40.98,382
FC(F)(F)c1nc2c(Cl)cccc2[nH]1,benzimidazole,C(F)(F)F,Cl,False,SMOL-0420,220.58100000000002,3.235100000000001,1,1,28.68,0,2,2,14,6,True,True,True,True,True,True,0.7255,3.39,0.6614,0.16,0.7351,0.0,0.7255,0.6614,0.16,0.1838,0.0,34.33,6.6,40.93,383
CC(C)c1cccc(-c2ccccc2C(F)(F)F)n1,other,C(C)C,C(F)(F)F,True,SMOL-0231,265.27799999999996,4.890800000000003,0,1,12.89,2,2,2,19,4,True,True,True,True,True,True,0.7529,3.0,0.7,0.13,2.3908,0.0,0.7529,0.7,0.13,0.5977,0.0,30.75,10.0,40.75,384
CCc1cc2cccc(CC)c2[nH]1,indole,CC,CC,False,SMOL-0411,173.25899999999996,3.292700000000001,1,0,15.79,2,2,2,13,1,True,True,True,True,True,True,0.7169,3.0,0.7,0.13,0.7927,0.0,0.7169,0.7,0.13,0.1982,0.0,33.84,6.6,40.44,385
C1=CC2COCCNC3CNCCNC3=c3nc2[nH]c3=C1,benzimidazole,C1COCCN1,C1CNCCN1,False,SMOL-0436,287.36699999999996,-1.8669999999999967,4,5,74.0,0,4,1,21,6,True,True,True,True,True,True,0.45,9.2,0.08,0.6388,4.367,1.0,0.45,0.08,0.6388,1.0,1.0,37.01,3.4,40.41,386
CNC(=O)C1=c2[nH]c3nc2cn[nH]nnc3C=C1,indole,C(=O)NC,c1nn[nH]n1,False,SMOL-0426,243.23000000000005,-1.1571999999999993,3,5,112.24000000000001,1,3,2,18,8,True,True,True,True,True,True,0.5847,7.53,0.2467,0.39,3.6572,1.0,0.5847,0.2467,0.39,0.9143,1.0,37.11,3.3,40.41,387
Clc1cc2nccnc2cc1Cl,other,Cl,Cl,True,SMOL-0088,199.04,2.9366000000000003,0,2,25.78,0,2,2,12,4,True,True,True,True,True,True,0.6512,3.1,0.69,0.16,0.4366,0.0,0.6512,0.69,0.16,0.1092,0.0,33.79,6.6,40.39,388
ClC1=Cc2ccccccnn21,pyrazole,Cl,c1ccccc1,False,SMOL-0480,178.62199999999999,2.5153000000000008,0,2,17.82,0,2,1,12,3,True,True,True,True,True,True,0.5971,3.0,0.7,0.16,0.0153,0.0,0.5971,0.7,0.16,0.0038,0.0,33.69,6.6,40.29,389
NS(=O)(=O)c1[nH]c2c3c1C(C=CC=2)CNCCNC=3,indole,S(=O)(=O)N,C1CNCCN1,True,SMOL-0299,280.35299999999995,-1.973199999999997,4,4,100.01,1,3,1,19,7,True,True,True,True,True,True,0.4792,9.31,0.0695,0.615,4.4732,1.0,0.4792,0.0695,0.615,1.0,1.0,36.82,3.4,40.22,390
FC(F)(F)c1ncc2cccc(Cl)c2n1,phenylpyridine,C(F)(F)F,Cl,False,SMOL-0456,232.592,3.3019999999999996,0,2,25.78,0,2,2,15,6,True,True,True,True,True,True,0.6965,3.3,0.67,0.16,0.802,0.0,0.6965,0.67,0.16,0.2005,0.0,33.61,6.6,40.21,391
C1=CC2CCC3CNCCNC=c4cnc3nc4=C12,phenylpyridine,C1CNCCN1,C1CC1,True,SMOL-0084,254.33700000000002,-0.3784999999999985,2,4,49.84,0,4,1,19,4,True,True,True,True,True,True,0.6626,9.2,0.08,0.4925,2.8785,0.5,0.6626,0.08,0.4925,0.7196,0.5,33.24,6.7,39.94,392
FC(F)(F)c1cc2cccc(C(F)(F)F)c2[nH]1,indole,C(F)(F)F,C(F)(F)F,True,SMOL-0272,253.14499999999998,4.205500000000001,1,0,15.79,0,2,2,17,7,True,True,True,True,True,True,0.6769,3.34,0.6665,0.13,1.7055,0.0,0.6769,0.6665,0.13,0.4264,0.0,29.89,10.0,39.89,393
Oc1cc2c([nH]1)=C1C=CC1COCCNC=2,indole,C1COCCN1,O,True,SMOL-0110,218.25599999999997,-0.5851999999999999,3,3,57.28,0,3,1,16,4,True,True,True,True,True,True,0.5456,4.3,0.57,0.3862,3.0852,0.5,0.5456,0.57,0.3862,0.7713,0.5,36.41,3.3,39.71,394
